model	alpha	cv_f1_macro_mean	cv_f1_macro_std	test_accuracy	test_f1_macro
ComplementNB	0.1	0.48289989321094007	0.027158875815057645	0.7588550983899821	0.543917074236596
ComplementNB	0.25	0.4827246650901271	0.026009397876904827	0.7588550983899821	0.5470086582107577
ComplementNB	0.05	0.4825816964525063	0.02587403423813025	0.7635062611806798	0.5501118229925772
ComplementNB	0.5	0.4769725943039571	0.023870042277312473	0.7592128801431127	0.538331448357689
ComplementNB	1.0	0.4767009759204866	0.024520397856127602	0.7513416815742398	0.5216867671723392
ComplementNB	2.0	0.46781440123595963	0.018903376364876864	0.7431127012522362	0.5145055129261422
ComplementNB	5.0	0.43838992792573467	0.016820922640784743	0.724865831842576	0.4905172084461631
MultinomialNB	0.05	0.41776465077616143	0.016507586763533484	0.7427549194991055	0.4528930290550789
MultinomialNB	0.1	0.3500425553109351	0.013412307776643727	0.7148479427549195	0.39006106205213464
MultinomialNB	0.25	0.24948202246083268	0.007420100526564375	0.6558139534883721	0.27784621398893605
MultinomialNB	0.5	0.1709826206507858	0.0057164980786117165	0.5906976744186047	0.1888739906055673
MultinomialNB	1.0	0.10933885146118412	0.0013887973877268723	0.5248658318425761	0.1259396906887771
MultinomialNB	2.0	0.07531465220642082	0.0009403036580872828	0.4389982110912343	0.08502353566992922
MultinomialNB	5.0	0.03668360294453129	0.0004584925319405474	0.3270125223613596	0.04454953797819442
